Annotation	key	cell_class	removal_reason	num_cells_postQC	top_dissectate_postQC	max_pct_dissectate_postQC	top_replicate_postQC	max_pct_replicate_postQC	Isocortex	OLF	HPF	CTXsp	STR	PAL	TH	HY	MB	P	MY	CB	FB_VS_grey	Mapped_Top_TopStruct	Mapped_Max_TopStruct	Mapped_MaxTopStruct_PCT	Mapped_Top_DeepCCF	Mapped_Max_DeepCCF	Mapped_Max_DeepCCF_PCT	Imputed_Top_TopStruct	Imputed_Top_DeepCCF	Imputed_Max_TopStruct	Imputed_Max_DeepCCF	NumBeadsConfMapped	Max_TopStruct	Max_DeepCCF	NT_binary
Ex_Trabd2b_Slc30a3_Ednra_1	300-0-0-1-0-0-1-3-0-0-0-2-1-1-0	neuron		181	AMY_AMY_AMY	97.79%	AMY_AMY_M022	79.56%	2	43	0	9	2	0	0	1	0	0	0	0	0	OLF|CTXsp	OLF	0.754385964912281	AON|PIR|TT|COA|TR	AON	0.418604651162791	CTXsp|OLF		CTXsp		57	OLF	AON	VGLUT1
Ex_Trabd2b_Slc30a3_Ednra_2	300-0-0-1-0-0-1-3-0-0-0-2-1-1-1	neuron		69	AMY_AMY_AMY	97.10%	AMY_AMY_M022	95.65%																				CTXsp|OLF		CTXsp			CTXsp		VGLUT1
	300-0-0-1-0-0-1-3-0-0-0-3-0-0	neuron	manual	0																															none
	300-0-0-1-0-0-1-3-0-0-0-3-0-1	neuron	manual	0																															none
	300-0-0-1-0-0-1-3-0-0-0-3-1	neuron	manual	0																															none
Ex_Trabd2b_Slc30a3_Col13a1	300-0-0-1-0-0-1-3-0-0-1	neuron		4331	AMY_AMY_AMY	79.52%	AMY_AMY_M022	53.06%	29	30	102	3	12	0	0	1	2	0	0	0	3	HPF|OLF|Isocortex	HPF	0.56043956043956	DG|PRE|CA3|APr|CA1	DG	0.264705882352941	OLF|CTXsp		OLF		182	HPF	DG	VGLUT1
Ex_Trabd2b_Slc30a3_Trh_1	300-0-0-1-0-0-1-3-0-1-0	neuron		3902	ENT_ENT_ENT	64.97%	ENT_ENT_A_F016	30.93%	25	789	3	45	2	1	0	1	0	0	0	0	0	OLF	OLF	0.91108545034642	COA|PIR	COA	0.718631178707224	OLF		OLF		866	OLF	COA	VGLUT1
Ex_Trabd2b_Slc30a3_Trh_2	300-0-0-1-0-0-1-3-0-1-1-0-0	neuron		1461	AMY_AMY_AMY	53.11%	AMY_AMY_F015	43.05%	729	491	29	233	12	0	0	0	0	0	0	0	0	Isocortex|OLF|CTXsp	Isocortex	0.487951807228916	VIS|AI|ORB|ILA|MO|SS|PL|ACA|TEa	VIS	0.138545953360768	OLF		OLF		1494	Isocortex	VIS	VGLUT1
Ex_Trabd2b_Slc30a3_Trh_3	300-0-0-1-0-0-1-3-0-1-1-0-1	neuron		357	AMY_AMY_AMY	97.48%	AMY_AMY_M022	92.16%	3	53	0	7	0	0	0	0	0	0	0	0	0	OLF|CTXsp	OLF	0.841269841269841	COA|PIR	COA	0.792452830188679	OLF|CTXsp		OLF		63	OLF	COA	VGLUT1
Ex_Trabd2b_Slc30a3_Serpinb8	300-0-0-1-0-0-1-3-0-1-1-1-0	neuron		277	AMY_AMY_AMY	90.25%	AMY_AMY_F015	89.53%	0	1	0	0	0	0	0	0	0	0	0	0	0	OLF	OLF	1	AON	AON	1	CTXsp|OLF		CTXsp		1	OLF	AON	VGLUT1
Ex_Ccn3_Fezf2_Vgll3_1	300-0-0-1-0-0-1-3-0-1-1-1-1	neuron		105	AMY_AMY_AMY	99.05%	AMY_AMY_F015	99.05%	0	0	0	2	0	0	0	0	0	0	0	0	0	CTXsp	CTXsp	1	PA|BMA	PA	0.5	CTXsp		CTXsp		2	CTXsp	PA	VGLUT1
Ex_Slc30a3_Galr1	300-0-0-1-0-0-1-3-0-1-1-2	neuron		92	ENT_ENT_ENT	76.09%	ENT_ENT_A_F016	53.26%																				OLF		OLF			OLF		VGLUT1_VGLUT2
Ex_Ccn3_Fezf2_Vgll3_2	300-0-0-1-0-0-1-3-0-2-0-0-0	neuron		296	AMY_AMY_AMY	92.23%	AMY_AMY_F015	91.22%	2	3	1	74	1	0	0	0	0	0	0	0	2	CTXsp	CTXsp	0.891566265060241	PA	PA	0.905405405405405	CTXsp		CTXsp		83	CTXsp	PA	VGLUT1_VGLUT2
Ex_Ccn3_Fezf2_Dcn_1	300-0-0-1-0-0-1-3-0-2-0-0-1-0-0	neuron		170	AMY_AMY_AMY	86.47%	AMY_AMY_F015	80.59%	1	3	0	4	0	0	0	0	0	0	0	0	0	CTXsp|OLF	CTXsp	0.5	PA	PA	1	CTXsp	PA	CTXsp	PA	8	CTXsp	PA	VGLUT1
Ex_Ccn3_Fezf2_Dcn_2	300-0-0-1-0-0-1-3-0-2-0-0-1-0-1	neuron		19	AMY_AMY_AMY	100.00%	AMY_AMY_F015	73.68%																				CTXsp	PA	CTXsp	PA		CTXsp	PA	VGLUT1
Ex_Ccn3_Fezf2_Dcn_3	300-0-0-1-0-0-1-3-0-2-0-0-1-1	neuron		72	AMY_AMY_AMY	48.61%	AMY_AMY_F015	40.28%																				CTXsp	PA	CTXsp	PA		CTXsp	PA	VGLUT1_VGLUT2
Ex_Ccn3_Fezf2_C1ql2	300-0-0-1-0-0-1-3-0-2-0-1	neuron		419	ENT_ENT_ENT	46.54%	SUB_M_A_M016	23.39%	248	155	283	500	45	0	2	13	7	1	0	0	35	CTXsp|HPF|Isocortex|OLF	CTXsp	0.387897595034911	PA|BMA|BLA	PA	0.474	CTXsp|OLF	PA	CTXsp	PA	1289	CTXsp	PA	VGLUT1_VGLUT2
Ex_Ccn3_Fezf2_Col6a3	300-0-0-1-0-0-1-3-0-2-1	neuron		317	ENT_ENT_ENT	82.65%	ENT_ENT_B_M017	21.45%	42	49	9	147	8	1	0	0	0	0	0	0	5	CTXsp|OLF|Isocortex	CTXsp	0.563218390804598	PA|BMA|BLA	PA	0.401360544217687	CTXsp|OLF	PA	CTXsp	PA	261	CTXsp	PA	VGLUT1_VGLUT2
	300-0-0-1-0-0-1-3-1-0-0-0-0-0-0-0	neuron	manual	0																															none
	300-0-0-1-0-0-1-3-1-0-0-0-0-0-0-1	neuron	manual	0																															none
Ex_Ccn3_Fezf2_Speer4a	300-0-0-1-0-0-1-3-1-0-0-0-0-0-1	neuron		268	AMY_AMY_AMY	100.00%	AMY_AMY_F015	99.63%	0	0	0	12	0	0	0	0	0	0	0	0	0	CTXsp	CTXsp	1	BMA|BLA	BMA	0.75	CTXsp	BMA	CTXsp	BMA	12	CTXsp	BMA	VGLUT1
Ex_Ccn3_Fezf2_Psrc1	300-0-0-1-0-0-1-3-1-0-0-0-0-0-2	neuron		112	AMY_AMY_AMY	100.00%	AMY_AMY_F015	96.43%	0	1	0	3	1	0	0	1	0	0	0	0	0	CTXsp|HY|STR|OLF	CTXsp	0.5	BMA|PA	BMA	0.666666666666667	CTXsp		CTXsp		6	CTXsp	BMA	VGLUT1_VGLUT2
Ex_Ccn3_Fezf2_Ptprc_1	300-0-0-1-0-0-1-3-1-0-0-0-0-1	neuron		46	AMY_AMY_AMY	100.00%	AMY_AMY_F015	100.00%																				CTXsp		CTXsp			CTXsp		VGLUT1
Ex_Ccn3_Fezf2_Ptprc_2	300-0-0-1-0-0-1-3-1-0-0-0-1-0	neuron		159	AMY_AMY_AMY	100.00%	AMY_AMY_F015	100.00%																				CTXsp		CTXsp			CTXsp		VGLUT1_VGLUT2
Ex_Ccn3_Fezf2_Ptprc_3	300-0-0-1-0-0-1-3-1-0-0-0-1-1	neuron		75	AMY_AMY_AMY	100.00%	AMY_AMY_F015	100.00%																				CTXsp		CTXsp			CTXsp		VGLUT1_VGLUT2
	300-0-0-1-0-0-1-3-1-0-0-1-0-0-0-0	neuron	manual	0																															none
Ex_Ccn3_Fezf2_Cd36	300-0-0-1-0-0-1-3-1-0-0-1-0-0-0-1	neuron		37	AMY_AMY_AMY	100.00%	AMY_AMY_F015	100.00%																				CTXsp		CTXsp			CTXsp		VGLUT1
Ex_Ccn3_Fezf2_Mndal	300-0-0-1-0-0-1-3-1-0-0-1-0-0-1	neuron		184	AMY_AMY_AMY	99.46%	AMY_AMY_F015	99.46%	0	0	0	137	6	0	1	0	0	0	0	0	0	CTXsp	CTXsp	0.951388888888889	BLA	BLA	0.89051094890511	CTXsp		CTXsp		144	CTXsp	BLA	VGLUT1
	300-0-0-1-0-0-1-3-1-0-0-1-0-1	neuron	manual	0																															none
Ex_Ccn3_Fezf2_Scin	300-0-0-1-0-0-1-3-1-0-0-1-1	neuron		403	AMY_AMY_AMY	95.53%	AMY_AMY_F015	95.29%	0	39	4	98	0	0	0	1	2	0	0	0	3	CTXsp|OLF	CTXsp	0.666666666666667	BLA|EP|LA|BMA	BLA	0.591836734693878	CTXsp		CTXsp		147	CTXsp	BLA	VGLUT1
Ex_Ccn3_Slc30a3_Fanci	300-0-0-1-0-0-1-3-1-0-1-0	neuron		249	AMY_AMY_AMY	100.00%	AMY_AMY_F015	100.00%																				CTXsp		CTXsp			CTXsp		VGLUT1
Ex_Ccn3_Slc30a3_Grp	300-0-0-1-0-0-1-3-1-0-1-1	neuron		247	AMY_AMY_AMY	100.00%	AMY_AMY_F015	99.60%	3	41	0	350	59	0	5	2	0	0	0	0	0	CTXsp|STR	CTXsp	0.760869565217391	LA	LA	0.851428571428571	CTXsp		CTXsp		460	CTXsp	LA	VGLUT1
REMOVE	300-0-0-1-0-0-1-3-1-0-1-2	DOUBLET	manual	0																															none
Ex_Cyp26b1_Slc30a3_Dkkl1_1	300-0-0-1-0-0-1-3-1-1-0-0-0-0-0	neuron		306	AMY_AMY_AMY	98.04%	AMY_AMY_M022	95.42%	19	61	2	118	10	1	2	2	1	0	0	0	1	CTXsp|OLF|Isocortex	CTXsp	0.543778801843318	BLA|BMA|EP|CTXsp	BLA	0.38135593220339	CTXsp		CTXsp		217	CTXsp	BLA	VGLUT1
Ex_Cyp26b1_Slc30a3_Dkkl1_2	300-0-0-1-0-0-1-3-1-1-0-0-0-0-1	neuron		114	AMY_AMY_AMY	98.25%	AMY_AMY_M022	77.19%	0	1	0	10	2	0	0	0	0	0	0	0	0	CTXsp|STR	CTXsp	0.769230769230769	BLA|BMA|CLA|PA	BLA	0.4	CTXsp		CTXsp		13	CTXsp	BLA	VGLUT1
	300-0-0-1-0-0-1-3-1-1-0-0-0-1	neuron	manual	0																															none
REMOVE	300-0-0-1-0-0-1-3-1-1-0-0-0-2	DOUBLET	manual	0																															none
Ex_Cyp26b1_Slc30a3_Ptprc_1	300-0-0-1-0-0-1-3-1-1-0-0-0-3	neuron		50	AMY_AMY_AMY	94.00%	AMY_AMY_M022	56.00%																				CTXsp		CTXsp			CTXsp		VGLUT1
REMOVE	300-0-0-1-0-0-1-3-1-1-0-0-1	DOUBLET	manual	0																															none
Ex_Cyp26b1_Slc30a3_Ptprc_2	300-0-0-1-0-0-1-3-1-1-0-1-0	neuron		290	AMY_AMY_AMY	99.66%	AMY_AMY_M022	98.62%	9	14	1	283	128	0	1	0	0	0	0	0	0	CTXsp|STR	CTXsp	0.64908256880734	BLA|BMA	BLA	0.830388692579505	CTXsp	BLA	CTXsp	BLA	436	CTXsp	BLA	VGLUT1
	300-0-0-1-0-0-1-3-1-1-0-1-1-0	neuron	manual	0																															none
Ex_Cyp26b1_Slc30a3_Ptprc_3	300-0-0-1-0-0-1-3-1-1-0-1-1-1	neuron		95	AMY_AMY_AMY	66.32%	AMY_AMY_M022	34.74%																											VGLUT1
Ex_Lhx9_Mstn_Vxn	300-0-0-1-0-0-1-3-1-1-1-0-0	neuron		84	ENT_ENT_ENT	97.62%	ENT_ENT_B_M017	47.62%																				Isocortex	ACA|AI|MO|ORB	Isocortex	ACA		Isocortex	ACA	VGLUT1
Ex_Lhx9_Mstn_Pld5	300-0-0-1-0-0-1-3-1-1-1-0-1	neuron		32	ENT_ENT_ENT	90.63%	ENT_ENT_B_M017	40.63%																				CTXsp|OLF		CTXsp			CTXsp		VGLUT1
Ex_Fezf2_Hc	300-0-0-1-0-0-1-3-1-1-1-1	neuron		92	ENT_ENT_ENT	86.96%	ENT_ENT_A_M015	66.30%																											VGLUT1
Ex_Abi3bp_Calcrl	300-0-0-1-0-0-1-4-0-0	neuron		221	OLF_OLF_OLF	95.02%	OLF_OLF_F017	46.15%	25	1317	0	0	0	0	0	0	0	0	0	0	0	OLF	OLF	0.981371087928465	AON	AON	0.939255884586181	OLF	AON	OLF	AON	1342	OLF	AON	VGLUT1_VGLUT2
	300-0-0-1-0-0-1-4-0-1	neuron	manual	0																															none
Ex_Abi3bp_Hcrtr2	300-0-0-1-0-0-1-4-1	neuron		138	OLF_OLF_OLF	89.86%	OLF_OLF_F017	38.41%	18	1562	0	0	0	0	0	0	0	0	0	0	0	OLF	OLF	0.988607594936709	AON	AON	0.928297055057618	OLF	AON	OLF	AON	1580	OLF	AON	VGLUT1_VGLUT2
Ex_Slc30a3_Shisa8_1	300-0-0-1-0-0-2-0-0-0-0-0	neuron		5201	RSP_M_M	49.97%	RSP_P_A_F017	37.67%	1	0	0	0	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	1	RSP	RSP	1	Isocortex	RSP	Isocortex	RSP	1	Isocortex	RSP	VGLUT1_VGLUT2
Ex_Slc30a3_Shisa8_2	300-0-0-1-0-0-2-0-0-0-0-1	neuron		429	MB_M2_M2	32.87%	MB_M2_F010	23.31%	21	0	3	0	0	0	0	0	2	1	0	0	0	Isocortex|HPF	Isocortex	0.777777777777778	MO|RSP|VIS|AUD|PL|ACA	MO	0.285714285714286	Isocortex	RSP	Isocortex	RSP	27	Isocortex	MO	VGLUT1_VGLUT2
Ex_Slc30a3_Shisa8_3	300-0-0-1-0-0-2-0-0-0-1	neuron		5010	RSP_M_M	46.17%	RSP_P_A_F017	32.34%	6	0	0	0	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	1	RSP|VIS|ACA|PL	RSP	0.333333333333333	Isocortex	RSP	Isocortex	RSP	6	Isocortex	RSP	VGLUT1_VGLUT2
Ex_Slc30a3_Shisa8_4	300-0-0-1-0-0-2-0-0-1	neuron		13610	RSP_P_P	49.17%	RSP_P_A_F017	43.24%	270	0	0	0	0	0	1	0	0	0	0	0	0	Isocortex	Isocortex	0.996309963099631	RSP	RSP	0.988888888888889	Isocortex	RSP	Isocortex	RSP	271	Isocortex	RSP	VGLUT1_VGLUT2
Ex_Slc30a3_Shisa8_5	300-0-0-1-0-0-2-0-0-2	neuron		2578	RSP_P_P	51.55%	RSP_P_A_F017	44.76%	209	0	0	1	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.995238095238095	RSP	RSP	0.937799043062201	Isocortex	RSP	Isocortex	RSP	210	Isocortex	RSP	VGLUT1_VGLUT2
Ex_Slc30a3_Shisa8_6	300-0-0-1-0-0-2-0-0-3-0	neuron		1348	VISP_VISP_VISP	27.60%	MB_M2_M013	15.21%	252	3	0	0	0	0	0	1	0	0	0	0	0	Isocortex	Isocortex	0.984375	RSP	RSP	0.900793650793651	Isocortex	RSP	Isocortex	RSP	256	Isocortex	RSP	VGLUT1_VGLUT2
Ex_Slc30a3_Shisa8_7	300-0-0-1-0-0-2-0-0-3-1	neuron		384	VISP_VISP_VISP	34.11%	VISP_VISP_F019	17.71%	74	3	1	0	0	0	0	0	0	1	0	1	0	Isocortex	Isocortex	0.925	RSP|SS|ORB|ACA|MO|PL	RSP	0.27027027027027	Isocortex	RSP	Isocortex	RSP	80	Isocortex	RSP	VGLUT1_VGLUT2
Ex_Slc30a3_Teddm3_1	300-0-0-1-0-0-2-0-1-0-0-0-0-0	neuron		397	MB_L2_L2	40.81%	MB_L2_M013	27.20%	0	0	0	0	0	0	2	0	2	0	0	0	2	MB|TH	MB	0.333333333333333	PRT|SCs	PRT	0.5					6	MB	PRT	VGLUT1_VGLUT2
Ex_Slc30a3_Teddm3_2	300-0-0-1-0-0-2-0-1-0-0-0-0-1	neuron		103	MB_L2_L2	29.13%	VIS_VIS_M022	23.30%																											VGLUT1_VGLUT2
Ex_Slc30a3_Teddm3_3	300-0-0-1-0-0-2-0-1-0-0-0-0-2	neuron		71	VISP_VISP_VISP	26.76%	MB_M2_F010	14.08%																				Isocortex	RSP	Isocortex	RSP		Isocortex	RSP	VGLUT1
Ex_Slc30a3_Teddm3_4	300-0-0-1-0-0-2-0-1-0-0-0-0-3	neuron		38	MB_L3_L3	47.37%	MB_L3_M013	26.32%																											VGLUT1_VGLUT2
Ex_Slc30a3_Teddm3_5	300-0-0-1-0-0-2-0-1-0-0-0-1-0	neuron		386	MB_L3_L3	55.96%	MB_L3_M011	17.36%	0	0	0	0	0	0	0	1	0	0	0	0	0	HY	HY	1	PMv	PMv	1					1	HY	PMv	VGLUT1_VGLUT2
Ex_Plcg2_Traf1_1	300-0-0-1-0-0-2-0-1-0-0-0-1-1	neuron		144	ENT_ENT_ENT	68.75%	ENT_ENT_A_M015	36.81%	127	49	3	1	0	0	0	0	0	0	0	0	0	Isocortex|OLF	Isocortex	0.705555555555556	ORB|ACA|MO|AI|SS	ORB	0.346456692913386					180	Isocortex	ORB	VGLUT1_VGLUT2
Ex_Plcg2_Traf1_2	300-0-0-1-0-0-2-0-1-0-0-0-1-2	neuron		133	ENT_ENT_ENT	24.81%	MB_L4_M011	23.31%																											VGLUT1_VGLUT2
Ex_Plcg2_Ret_1	300-0-0-1-0-0-2-0-1-0-0-1-0	neuron		305	MB_L3_L3	61.64%	MB_L3_M013	19.67%	0	0	0	0	0	0	0	1	7	1	0	0	3	MB|HY	MB	0.583333333333333	MB|PAG|PBG|SCm|IC	MB	0.285714285714286					12	MB	MB	VGLUT1_VGLUT2
Ex_Plcg2_Ret_2	300-0-0-1-0-0-2-0-1-0-0-1-1	neuron		113	ENT_ENT_ENT	69.03%	ENT_ENT_A_M015	41.59%	50	6	1	0	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.87719298245614	RSP|ORB|ACA|MO|AI|SS	RSP	0.4					57	Isocortex	RSP	VGLUT1_VGLUT2
	300-0-0-1-0-0-2-0-1-0-1-0-0-0	neuron	manual	0																															none
	300-0-0-1-0-0-2-0-1-0-1-0-0-1	neuron	manual	0																															none
Ex_Slc30a3_Teddm3_6	300-0-0-1-0-0-2-0-1-0-1-0-1	neuron		156	MB_L1_L1	44.87%	MB_L1_F011	19.87%																				Isocortex	ACA|MO|ORB	Isocortex	ACA		Isocortex	ACA	VGLUT1_VGLUT2
Ex_Foxp2_C130074G19Rik_1	300-0-0-1-0-0-2-0-1-0-1-1-0-0	neuron		183	MB_L2_L2	69.40%	MB_L2_M011	35.52%	0	0	0	0	0	0	0	0	1	0	0	0	0	MB	MB	1	MB	MB	1	Isocortex		Isocortex		1	MB	MB	VGLUT1_VGLUT2
Ex_Foxp2_C130074G19Rik_2	300-0-0-1-0-0-2-0-1-0-1-1-0-1	neuron		90	MB_L2_L2	64.44%	MB_L2_M011	26.67%																											VGLUT1_VGLUT2
Ex_Foxp2_C130074G19Rik_3	300-0-0-1-0-0-2-0-1-0-1-1-1	neuron		58	MB_L2_L2	51.72%	MB_L2_M011	18.97%																				Isocortex	SS	Isocortex	SS		Isocortex	SS	VGLUT1_VGLUT2
	300-0-0-1-0-0-2-0-1-1-0	neuron	manual	0																															none
	300-0-0-1-0-0-2-0-1-1-1	neuron	manual	0																															none
Ex_Foxp2_Dsc3	300-0-0-1-0-0-2-1	neuron		7150	MB_L3_L3	38.74%	MB_L2_M013	13.27%	1350	13	4041	16	13	1	17	16	87	10	0	1	65	HPF|Isocortex	HPF	0.717761989342806	POST|PRE|SUB|APr	POST	0.555308092056422	Isocortex		Isocortex		5630	HPF	POST	VGLUT1_VGLUT2
Ex_Fezf2_Cpa6	300-0-0-1-0-1-0-0-0-0-0-0	neuron		28712	ACA_ACA_ACA	30.49%	ACA_ACA_F019	21.26%	793	648	2	173	599	8	14	13	4	0	0	0	1	Isocortex|OLF|STR	Isocortex	0.351662971175166	MO|SS|ORB|ACA|PL	MO	0.49936948297604	Isocortex	ORB|SS|ACA|MO	Isocortex	ORB	2255	Isocortex	MO	VGLUT1
Ex_Foxp2_Col12a1_Ddo	300-0-0-1-0-1-0-0-0-0-0-1-0	neuron		4915	ACA_ACA_ACA	23.34%	ACA_ACA_F019	11.78%	467	0	0	1	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.997863247863248	MO|SS|ACA|ORB	MO	0.471092077087794	Isocortex	ORB|SS|ACA|MO	Isocortex	ORB	468	Isocortex	MO	VGLUT1
Ex_Foxp2_Col12a1_Nxph1	300-0-0-1-0-1-0-0-0-0-0-1-1	neuron		3004	ACA_ACA_ACA	26.23%	ACA_ACA_M016	15.35%	652	0	0	0	0	0	1	0	0	0	0	0	0	Isocortex	Isocortex	0.998468606431853	MO|ACA|SS|ORB|PL|RSP	MO	0.358895705521472	Isocortex	ORB|SS|ACA|MO	Isocortex	ORB	653	Isocortex	MO	VGLUT1
Ex_Foxp2_Col5a1	300-0-0-1-0-1-0-0-0-0-1-0-0	neuron		12655	AUD_AUD_AUD	38.94%	AUD_AUD_M015	20.44%	676	0	0	1	0	0	0	1	0	0	0	0	0	Isocortex	Isocortex	0.997050147492625	SS|VIS|ORB	SS	0.711538461538462	Isocortex	ORB|SS|ACA|MO	Isocortex	ORB	678	Isocortex	SS	VGLUT1
Ex_Fezf2_Cknsr3	300-0-0-1-0-1-0-0-0-0-1-0-1-0	neuron		8661	AUD_AUD_AUD	42.37%	AUD_AUD_F022	22.12%	2069	1	5	8	1	0	2	0	1	0	0	0	0	Isocortex	Isocortex	0.991375179683757	SS|MO|VIS|ORB|AUD|RSP|ACA	SS	0.378927017883035	Isocortex	ORB|SS|ACA|MO	Isocortex	ORB	2087	Isocortex	SS	VGLUT1
Ex_Fezf2_Cnksr3_C7	300-0-0-1-0-1-0-0-0-0-1-0-1-1-0-0	neuron		400	AUD_AUD_AUD	53.50%	AUD_AUD_F022	38.75%	127	0	1	0	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.9921875	VIS|AUD|ORB|SS|ACA|MO|RSP|PL	VIS	0.196850393700787	Isocortex	ORB|SS|ACA|MO	Isocortex	ORB	128	Isocortex	VIS	VGLUT1
Ex_Fezf2_Cnksr3_Fos	300-0-0-1-0-1-0-0-0-0-1-0-1-1-0-1	neuron		42	AUD_AUD_AUD	76.19%	AUD_AUD_F022	71.43%																				Isocortex	ORB|SS|ACA|MO	Isocortex	ORB		Isocortex	ORB	VGLUT1
Ex_Fezf2_Cnksr3_Areg	300-0-0-1-0-1-0-0-0-0-1-0-1-1-1	neuron		53	CTX_MTG_MTG	35.85%	CTX_MTG_B_F022	32.08%																				Isocortex	ACA|MO|ORB|PL|SS	Isocortex	ACA		Isocortex	ACA	VGLUT1
Ex_Fezf2_Col6a1_Tg	300-0-0-1-0-1-0-0-0-0-1-1	neuron		2484	CTX_MTG_MTG	33.94%	AUD_AUD_F022	18.88%	2733	239	7	174	52	1	3	5	5	0	0	0	0	Isocortex|OLF	Isocortex	0.849021435228332	PL|ORB|MO|ACA|ILA|SS|AI|GU	PL	0.244785949506037	Isocortex	MO|SS	Isocortex	MO	3219	Isocortex	PL	VGLUT1
Ex_Fezf2_Col6a1_Gpr139	300-0-0-1-0-1-0-0-0-0-2-0	neuron		346	AUD_AUD_AUD	30.35%	AUD_AUD_M015	18.50%	500	0	0	0	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	1	SS|MO|ORB|ACA|VIS	SS	0.418	Isocortex	ORB|SS|ACA|MO	Isocortex	ORB	500	Isocortex	SS	VGLUT1
Ex_Fezf2_Col6a1_Gp139_Fos	300-0-0-1-0-1-0-0-0-0-2-1	neuron		19	VIS_VIS_VIS	36.84%	VIS_VIS_F022	36.84%																				Isocortex	ORB|SS|ACA|MO	Isocortex	ORB		Isocortex	ORB	VGLUT1
Ex_Fezf2_Sebox	300-0-0-1-0-1-0-0-0-1-0-0	neuron		2373	RSP_P_P	50.06%	RSP_P_B_F017	49.09%	588	1	2	1	1	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.991568296795953	MO|SS|ORB|VIS|ACA	MO	0.311224489795918	Isocortex	ACA|MO|SS|ORB	Isocortex	ACA	593	Isocortex	MO	VGLUT1
Ex_Fezf2_Urah_Shisa9_1	300-0-0-1-0-1-0-0-0-1-0-1-0	neuron		322	RSP_P_P	54.97%	RSP_P_B_F017	52.80%	147	0	2	0	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.986577181208054	MO|ORB|SS|VIS|ACA	MO	0.340136054421769	Isocortex	ACA|MO|SS|ORB	Isocortex	ACA	149	Isocortex	MO	VGLUT1_VGLUT2
Ex_Fezf2_Urah_Sntb1	300-0-0-1-0-1-0-0-0-1-0-1-1	neuron		171	RSP_P_P	49.71%	RSP_P_B_F017	45.61%	90	7	3	0	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.9	MO|ACA|SS|RSP|ORB	MO	0.388888888888889	Isocortex	ACA|MO|SS|ORB	Isocortex	ACA	100	Isocortex	MO	VGLUT1_VGLUT2
Ex_Fezf2_Urah_Shisa9_2	300-0-0-1-0-1-0-0-0-1-0-1-2	neuron		38	RSP_P_P	44.74%	RSP_M_B_M015	28.95%																				Isocortex	ACA|MO|ORB|SS	Isocortex	ACA		Isocortex	ACA	VGLUT1_VGLUT2
Ex_Fezf2_Urah_Shisa9_3	300-0-0-1-0-1-0-0-0-1-0-1-3	neuron		29	RSP_P_P	65.52%	RSP_P_B_F017	65.52%																				Isocortex	ACA|MO|SS	Isocortex	ACA		Isocortex	ACA	VGLUT1_VGLUT2
Ex_Fezf2_Urah_Alcam	300-0-0-1-0-1-0-0-0-1-1	neuron		2530	RSP_P_P	43.48%	RSP_P_B_F017	41.94%	241	1	11	0	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.952569169960474	MO|SS|RSP|ACA	MO	0.269709543568465	Isocortex	ACA|MO|SS|ORB	Isocortex	ACA	253	Isocortex	MO	VGLUT1
	300-0-0-1-0-1-0-0-0-2	neuron	manual	0																															none
Ex_Fezf2_Kit_Sostdc1	300-0-0-1-0-1-0-0-0-3	neuron		1232	ACA_ACA_ACA	64.69%	ACA_ACA_F019	41.31%	358	0	2	1	0	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.991689750692521	ACA|MO|RSP|PL	ACA	0.525139664804469	Isocortex	MO|ACA|ORB|SS	Isocortex	MO	361	Isocortex	ACA	VGLUT1
Ex_Nxph4_Moxd1_Igfbp4	300-0-0-1-0-1-0-0-1-0-0-0	neuron		1467	AUD_AUD_AUD	18.40%	AUD_AUD_M015	12.07%	423	1	2	2	1	0	1	4	2	0	0	0	0	Isocortex	Isocortex	0.970183486238532	SS|MO|VIS	SS	0.697399527186761	Isocortex	SS|MO	Isocortex	SS	436	Isocortex	SS	VGLUT1
Ex_Nxph4_Kynu	300-0-0-1-0-1-0-0-1-0-0-1-0-0	neuron		299	MOp_M_M	20.40%	ACA_ACA_F019	9.70%	116	9	3	1	1	0	0	0	0	0	0	0	0	Isocortex	Isocortex	0.892307692307692	SS|MO|VIS|ACA	SS	0.508620689655172	Isocortex	MO|SS|ACA	Isocortex	MO	130	Isocortex	SS	VGLUT1
Ex_Nxph4_Lman1l_Pdgfc	300-0-0-1-0-1-0-0-1-0-0-1-0-1	neuron		66	VIS_VIS_VIS	33.33%	VIS_VIS_F022	19.70%																				Isocortex	SS|MO	Isocortex	SS		Isocortex	SS	VGLUT1
